Kenya,Tanzania,"IFRS
reported"
"6,029,397","693,502","6,722,899"
"3,414,750","118,620","3,533,370"
"534,801","294,923","829,724"
"9,978,948","1,107,045","11,085,993"
"(4,794,395)","(257,956)","(5,052,321)"
"695,004",–,"695,004"
"(854,456)",–,"(854,456)"
"(1,047,407)","(338,861)","(1,386,768)"
"(2,920,147)","(355,161)","(3,275,308)"
"(11,267)","(2,005)","(13,272)"
"1,046,310","153,062","1,199,372"
"(403,893)","(55,086)","(458,979)"
"642,417","97,976","740,393"
20,"(5,638)","(5,618)"
"642,437","92,338","734,775"
–,"(36,746)","(36,746)"
"642,437","55,592","698,029"
