Column,"Restated1
2024",Column
2025,,2025
"11 883
(10 153)","10 950
(8 528)","–
–"
"1 730
(1 252)","2 422
(1 358)","–
–"
478,1 064,–
"31
808
5 205
(2 024)","11
1 074
5 962
(2 154)","1 622
–
–
–"
4 020,4 893,1 622
"(2 423)
53","(2 806)
55","–
–"
(2 370),(2 751),–
2 128,3 206,1 622
"519
(1 362)
(8)
(186)","456
(1 351)
(8)
(212)","–
(157)
–
–"
"1 091
(432)","2 091
(721)","1 465
–"
659,1 370,1 465
(172),32,–
487,1 402,1 465
(65),(124),
,,–
422,1 278,1 465
"456
31","1 389
13","1 465
–"
487,1 402,1 465
"659
(203)","1 370
19","1 465
–"
456,1 389,1 465
