"Policyholder
liabilities","Reinsurance
assets","Investment
contracts
with DPF(1)"
"2,884,245","(76,171)","5,860,977"
"3,351,587","(205,070)","1,109,356"
"2,432,476","(205,070)","395,740"
"919,111",–,"713,616"
"(2,765,826)","54,122","(929,455)"
"(1,573,758)","54,122","(716,188)"
"(348,443)",–,"(42,687)"
"(770,175)",–,"(149,396)"
"(73,450)",–,"(21,184)"
"(352,643)","196,943","(1,151,220)"
"3,117,363","(30,176)","4,889,658"
,"(30,176)",
"(170,113)","2,699","(79,018)"
"3,287,476","(32,875)","4,968,676"
