Type,Measurement
"Business
combinations",The group uses the acquisition method of accounting to account for the acquisition of subsidiaries.
,"The cost of an acquisition is measured as the sum of the fair value of the assets given, equity instruments issued,
and liabilities incurred or assumed at the date of exchange."
,"The consideration transferred includes the fair value of any asset or liability resulting from a contingent consideration
arrangement. The cost of an investment in a subsidiary is adjusted to reflect changes in consideration arising from
contingent consideration amendments."
,Transaction costs are recognised within profit or loss as and when they are incurred..
,"Identifiable assets acquired and liabilities and contingent liabilities assumed in a business combination are measured
initially at their fair values at the acquisition date, irrespective of the extent of any non-controlling interest."
,"The excess of the consideration transferred, being the amount of any non-controlling interest in the acquiree and
the acquisition-date fair value of any previous equity interest in the acquiree over the fair value of the identifiable
net assets acquired, is recorded as goodwill."
,"The group elects to measure non-controlling interests on the acquisition date at either fair value or at the non-
controlling interest’s proportionate share of the subsidiary’s identifiable net assets on an acquisition-by-acquisition basis."
,"If the cost of acquisition is less than the fair value of the net assets of the subsidiary acquired, the difference is
recognised directly in the statement of comprehensive income."
"Interests in
associates","An associate is an entity over which the group has the ability to exercise significant influence, but not control or joint
control, through participation in the financial and operating policy decisions of the investment."
,"Judgement is applied in assessing which entities the group has the ability to significantly influence. In the case of
voting rights, it is generally demonstrated by the group holding 20% or more of the voting power of the investee."
,"Interests in associates are accounted for at cost less any impairment in the company financial statements. The carrying
amounts are reviewed annually for impairment."
"Transactions with
non-controlling
interests","The group applies a policy of treating transactions, including partial disposals with non-controlling interests that do
not result in the gain or loss of control, as transactions with equity owners of the group. For purchases of additional
interests from non-controlling interests, the excess of the purchase consideration over the group’s proportionate share
of the subsidiary’s additional net asset value acquired is accounted for directly in equity. Profits or losses on the partial
disposal of the group’s interest in a subsidiary to non-controlling interests are also accounted for directly in equity."
