2024,2023,2024,2023
–,–,2 702,2 702
1 447,1 481,–,–
1 216,1 216,–,–
146,200,–,–
52,87,–,–
6,196,–,–
27 601,20 345,–,–
542,635,–,–
1 884,5 737,–,–
66,125,–,–
–,–,11,28
746,882,7,22
5 334,–,–,–
9 109,12 857,3,19
48 149,43 761,2 723,2 771
61,100,–,–
18 937,23 863,–,–
11 021,7 088,–,–
1 007,927,–,–
225,180,–,–
4 480,–,–,–
–,–,11,4
1 566,1 831,19,24
207,195,25,–
37 504,34 184,55,28
10 304,9 189,"2,668",2 743
536,536,536,536
1 490,1 490,1 490,1 490
6 473,5 394,642,717
1 805,1 769,–,–
341,388,–,–
10 645,9 577,2 668,2 743
48 159,43 761,2 723,2 771
