Standard,Scope,Potential impact to the Group and Company
IFRS 17,"IFRS 17 replaces IFRS 4, which was issued as
an interim standard and permitted entities to
account for insurance contracts (particularly
the measurement thereof) using local actuarial
practices, resulting in a multitude of different
approaches. Consequently, the financial position
and financial performance of otherwise similar
companies are not always comparable.
IFRS 17 prescribes a single accounting model under
which insurance contacts are measured using
current estimates. The application of IFRS 17 will
enable stakeholders to understand and compare
the financial positions and performances of those
reporting entities that issue insurance contracts.
The method of revenue recognition will enhance
comparability to companies in other jurisdictions
and industries.
Under IFRS 17, a general measurement model
(GMM) is applicable to long-term insurance
contracts and is based on a fulfilment objective
(risk-adjusted present value of best estimate future
cash flows).
It requires the use of current estimates, which are
those informed by actual trends and investment
markets. IFRS 17 establishes a contractual service
margin (CSM) at the initial measurement of the
liability. The CSM represents the unearned profit
on the contract and results in no gain at initial
recognition. The CSM is released over the life of the
contract in line with the level of service provided
in each period. The interest rate on the CSM is
locked in at the rate at inception.
The CSM will be utilised as a “shock absorber”
in the event of changes to best estimate cash
flows. On loss- making (onerous) contracts, there
is no CSM and the full loss will be recognised as
soon as it is expected that the group of contracts
will be onerous, in terms of the initial recognition
criteria in IFRS 17.
The GMM is modified for contracts that have
participation features, in which case the variable
fee measurement approach (VFA) is used to the
measure the contract.
An optional simplified premium allocation
approach (PAA) is available for contracts that have
a coverage period of 12 months or less. The PAA is
similar to the current unearned premium reserve
profile recognised over time.
The IASB issued the final IFRS 17 standard in June
2020, which confirmed that the standard will
come into effect for years commencing 1 January
2023. An entity may re-assess its classification and
designation of financial instruments under IFRS 9,
on the adoption of IFRS 17.",
"Insurance
Contracts",,
"Effective for years
commencing
1 January 2023 with
three transitional
approaches
permitted, namely:",,
• retrospective;,,
"• modified
retrospective; and",,
"• fair value
approach.",,
"Early adoption is
permitted.",,
