Column,Kshs’000,% Change
Main basis,"19,419,317",-
Expenses plus 10%,"19,568,021",0.8%
"Mortality and other claim
experience plus 10%","19,436,391",0.1%
Interest rate less 1%,"19,558,204",0.7%
Expense inflation plus 1%,"19,472,375",0.3%
Withdrawals plus 10%,"19,369,817",(0.3%)
