Cash flows from operating activities,Column,Column,Column,Column,-
Cash (used in) generated from operations,30,"(880,754)","(1,240,070)","4,964","(65,324)"
Net interest received,,"2,520,967","2,452,437",-,-
Income tax paid,13,"(332,863)","(196,628)",-,-
Net cash from operating activities,,"1,307,350","1,015,739","4,964","(65,324)"
