Total borrowings,26,"163,731","231,852"
Due from group companies,26,"(122,268)","(163,918)"
Net borrowings,-,"41,463","67,934"
Less: Cash and cash equivalents,21,"(17,709)","(77,610)"
Net debt,-,"23,754","(9,676)"
Total equity,-,"3,056,311","3,048,091"
Gearing ratio,-,0.78 %,(0.32)%
