"Life insurance
contracts
measured
under GMM","Life
participating
contracts
measured
under VFA",Total
41,241,282
87,61,148
60,51,111
95,43,138
29,31,60
52,38,90
(173),-,(173)
191,465,656
72,17,89
263,482,745
