Insurance contracts,Column,Column,Column,Column
"Policyholder
liabilities","Policyholder
assets","Reinsurance
assets and
liabilities","Investment
contracts
with DPF","Investment
contracts"
96 327,–,–,(45 620),(15 396)
528 436,–,–,126 646,1 799 730
1 598 312,–,–,1 146 137,4 132 410
1 380 245,–,–,1 595 776,4 285 911
3 978,–,–,–,515 019
3 607 298,–,–,2 822 939,10 717 674
170 992,–,–,–,–
1 876 203,–,(320 700),–,–
2 577 637,–,–,–,–
4 636 142,–,–,–,–
790 275,–,–,–,–
(7 201 826),–,–,–,–
2 849 423,–,(320 700),–,–
6 456 721,–,(320 700),2 822 939,10 717 674
3 607 298,–,–,2 822 939,10 717 674
