Mr Philip Odera,Independent - Non-Executive (Chairman)
Mr Mike du Toit,Non-Executive
Mr Peter Gethi,Non-Executive
Mr Jeff Hubbard,Non-Executive
Ms Gladys Ogallo,Independent - Non-Executive
Mr Rajesh Shah,Independent - Non-Executive
Ms Rachel Mbai,Independent - Non-Executive
