Mr Philip Odera,Non-Executive (Chairman)
Mr Mike du Toit,Executive (Managing Director)
Mr Peter Gethi,Non-Executive
Mr Jeff Hubbard,Non-Executive
Ms Gladys Ogallo,Non-Executive
Mr Rajesh Shah,Non-Executive
Ms Rachel Mbai,Non-Executive
