THE GROUP,Column,THE COMPANY,Column
"2018
Shs’000","2017 2016
(Restated)* (Restated)*
Shs’000 Shs’000",,"2018
Shs’000"
"535,707
1,490,480
3,381,579
1,930,327","535,707 535,707
1,490,480 1,490,480
3,204,136 2,945,476
1,971,692 1,560,820",,"535,707
1,490,480
516,024
-"
"7,338,093","7,202,015 6,532,483",,"2,542,211"
"281,046","291,550 331,925",,-
"7,619,139","7,493,565 6,864,408",,"2,542,211"
"1,218,612
168,577
1,254,995
760,855
-
22,456,803
72,268
221,494
161,224
824,923
2,701,761
276,682
94,922
125,000
6,240,923","1,251,319 1,243,244
150,362 98,323
1,254,995 1,254,995
876,434 907,626
- -
24,983,002 21,896,541
26,588 22,735
228,172 131,175
764,875 490,076
925,690 1,439,313
2,379,010 2,315,493
783,548 332,236
25,471 29,559
- -
3,689,506 4,936,638",,"-
-
-
-
2,571,541
-
-
-
-
-
-
-
-
-
10,659"
"36,579,039","37,338,972 35,097,954",,"2,582,200"
"6,643,294
9,892,067
5,860,977
3,054,112
1,059,984
552,382
673,564
1,070,375
153,145","6,181,186 5,933,688
8,926,121 6,111,588
7,833,598 10,367,517
3,007,402 3,026,221
1,085,120 907,839
585,119 449,403
842,072 589,770
1,348,278 827,917
36,511 19,603",,"-
-
-
-
-
-
-
39,989
-"
"28,959,900","29,845,407 28,233,546",,"39,989"
"7,619,139","7,493,565 6,864,408",,"2,542,211"
