Column,ARC ARIC,Column,Column,Column,Column,Column
,"Risk
Excluding Present adjustmen
loss Loss value of t for non-
recovery recovery future financial Total
component component Total ARC cash flows risk ARIC",,,,,
2024,,,,,,
"Balance at the beginning of the
year",250 – 250 183 5 188 438,,,,,
Opening reinsurance contract assets,250 – 250 183 5 188 438,,,,,
"Reinsurance expenses (1 255) – (1 255) – – – (1 255)
Claims recovered – – – 985 – 985 985",,,,,,
"Net (expense)/income from
reinsurance contracts issued",(1 255) – (1 255) 985 – 985 (270),,,,,
"Net finance income from reinsurance
contracts issued – – – 3 – 3 3",,,,,,
"Total recognised in the statement
of comprehensive income",(1 255),–,(1 255) 988,–,988,(267)
Cash flows,1 229 – 1 229 (979) – (979) 250,,,,,
"Premiums paid net of ceding
commissions
Claims recovered","1 229 – 1 229 – – – 1 229
– – – (979) – (979) (979)",,,,,
Balance at the end of the year,224 – 224 192 5 197 421,,,,,
Closing reinsurance contract assets 224 – 224 192 5 197 421,,,,,,
