2021,Column,Column
"Gross of
reinsurance",Reinsurance,"Net of
reinsurance"
3 464 179,(1 296 071),2 168 108
813 695,(498 182),315 513
3 337 585,(1 432 048),1 905 537
7 615 459,(3 226 301),4 389 158
7 615 459,(3 226 301),4 389 158
–,–,–
3 527 639,(1 483 997),2 043 642
(4 062 526),1 864 772,(2 197 754)
3 979 589,(1 654 181),2 325 408
19 477,(22 665),(3 188)
3 464 179,(1 296 071),2 168 108
649 061,(447 840),201 221
161 619,(48 458),113 161
3 015,(1 884),1 131
813 695,(498 182),315 513
2 934 931,(1 230 263),1 704 668
9 089 120,(4 524 921),4 564 199
(8 712 483),4 340 304,(4 372 179)
26 017,(17 168),8 849
3 337 585,(1 432 048),1 905 537
