"Excluding
loss
component","Loss
component",Total LRC,"Present
value of
future cash
flows","Risk
adjustment
for non-
financial
risk",Total LIC,"Total life
insurance
contracts
measured
under PAA"
545,4,549,622,38,660,1 209
–,–,–,–,–,–,–
545,4,549,622,38,660,1 209
(1 652),–,(1 652),–,–,–,(1 652)
621,1,622,503,(9),494,1 116
–,–,–,491,(9),482,482
314,–,314,15,–,15,329
–,–,–,(3),–,(3),(3)
–,(2),(2),–,–,–,(2)
–,–,–,–,–,–,–
–,3,3,–,–,–,3
307,–,307,–,–,–,307
,,–,,,–,–
(1 031),1,(1 030),503,(9),494,(536)
28,–,28,–,–,–,28
–,–,–,–,–,–,–
(1 003),–,(1 002),503,(9),494,(508)
,,–,,,–,–
1 381,–,1 381,(872),–,(872),509
1 694,–,1 694,–,–,–,1 694
–,–,–,(543),–,(543),(543)
–,–,–,(329),–,(329),(329)
(313),–,(313),–,–,–,(313)
–,–,–,–,–,–,–
923,5,928,253,29,282,1 210
–,–,–,–,–,–,–
923,5,928,253,29,282,1 210
