"A- and
above",BBB+,BBB,BB+,BB,"BB- and
below","Not
rated",Total
27 601,–,–,–,–,–,542,28 143
27 601,–,–,–,–,–,–,27 601
–,–,–,–,–,–,–,–
–,–,–,–,–,–,542,542
245,–,–,1 639,–,–,–,1 884
–,–,–,–,–,–,756,756
932,4 202,–,3 975,–,–,–,9 109
28 778,4 202,–,5 614,–,–,1 298,39 892
28 778,4 202,–,5 308,–,–,1 298,39 586
–,–,–,306,–,–,–,306
