2024,2023,2024,2023,2024,Column
860,410,–,–,–,
19,"30
380",–,"–
–",–,"–
–"
841,,–,,–,
74,450,118,42,3,
(16),"(11)
461",–,"–
42",–,"–
7"
90,,118,,3,
934,860,–,–,–,
3,"19
841",–,"–
–",–,"–
–"
931,,–,,–,
934,860,118,42,3,
