"Total life
Present Risk insurance
value of adjustment contracts
future cash for non- measured
flows financial risk CSM under GMM"
1 290 92 263 1 645
1 290 92 263 1 645
(59) (29) (93) (181)
"– – (93) (93)
– (29) – (29)
(59) – – (59)"
(63) 42 211 190
"50 (15) (35) –
102 10 – 112
(215) 47 246 78"
"(122) 13 118 9
468 31 28 527"
346 44 146 536
384 – – 384
"946 – – 946
(117) – – (117)
(171) – – (171)
(274) – – (274)"
2 020 136 409 2 565
2 020 136 409 2 565
