"Life risk
measured
under GMM",Annuities,"Participating
contracts",Total
24 168,5 619,164 179,193 966
136 594,46 027,615 983,798 604
94 796,8 000,24 125,126 921
(189 979),(26 198),(277 737),(493 914)
65 579,33 448,526 550,625 577
87 620,3 156,25 591,116 367
153 199,36 604,552 141,741 944
