"Gross claims development
KShs m",Column,Column
,2020 2021 2022 2023 2024 2025 Total,
2025,"2 683 2 982 3 568 3 877 4 423 4 921 22 454
(133) (19) (245) (286) (150) (833)
19 (27) (61) (34) (103)
(27) (23) 77 27
(21) 30 9
9 9",
"Estimates of ultimate claims costs (gross of
reinsurance, undiscounted)",,
At the end of the accident year,,
1 year later,,
2 years later,,
"3 years later
4 years later
5 years later",,
"Cumulative gross claims and other directly
attributable expenses paid","2 530 2 943 3 339 3 557 4 273 4 921
(2 420) (2 713) (2 949) (3 091) (3 554) (3 149)","21 563
(17 876)"
Cumulative payments to date,,
"Gross cumulative liabilities
Outstanding cumulative claims liabilities - prior
accident years
Effect of discounting
Effect of the risk adjustment margin for non-
financial risk",110 230 390 466 719 1 772,"3 687
557
(322)
175"
LIC for contracts originated,110 230 390 466 719 1 772,4 097
