2019,2018,2019,Column
,"10,217,603
(3,908,377)",,
"10,771,164",,–,
"(4,048,265)",,–,
"6,722,899","6,309,226
844,015
96,159
415,752
1,588,489
58,409
–",–,
"829,724",,–,
"75,102",,"494,000",
"350,840",,–,
"3,078,216",,–,
"29,212",,–,
–,,–,
"11,085,993","9,312,050
(7,376,181)
1,802,242
2,208,757","494,000",
"(6,728,680)",,–,
"1,676,359",,–,
"695,004",,–,
"(230,320)","153,632
1,972,621
82,504",–,"–
–
–"
"971,319",,–,
"(45,995)",,–,
"(854,456)","(828,319)
(1,166,084)
(3,027,509)
–",–,
"(1,386,268)",,–,
"(3,275,308)",,"(215,869)",
"(13,272)",,–,
"1,199,372","924,956
(375,430)","278,131",
"(458,979)",,–,
"740,393","549,526
(32,116)","278,131",
"(5,618)",,–,
"(5,638)","(34,650)",–,–
"(5,638)","(34,650)",–,–
20,"2,534",–,–
"2,826","14,879
(1,086)
(11,259)",–,"–
–
–"
(8),,–,
"(2,798)",,–,
"734,775","517,410","278,131",
,"493,711
55,815",,
"701,203",,"278,131",
"39,190",,–,
"740,393","549,526","278,131",
,"472,582
44,828",,
"698,029",,"278,131",
"36,746",,–,
"734,775","517,410","278,131",
1.31,0.92,0.52,
