Contractual cash flows (excluding IFRS 17 insurance contract balances),Column,Column,Column,Column,Column
"0 – 3
months(1)","3 – 12
months","1 – 5
years","5 – 10
years",Variable,Total
1 566,–,–,–,–,1 566
128,10 893,–,–,–,11 021
211,–,14,–,–,225
4,33,30,–,–,67
1 944,10 926,44,–,–,12 914
15,85,–,–,–,100
