INSTRUMENT,"VALUATION BASIS/
TECHNIQUES"
"Investment and owner-occupied
properties",Income approach.
,Sale price (if held for sale)
"Unlisted equities and debt, including
associates and joint ventures –
measured at fair value",DCF/earnings multiple
,Net asset value
,Recent arm’s length transactions
"Unlisted term deposits and illiquid listed
term deposits",DCF
Investment policies,Probabilistic valuation methodology DCF
Staff loans receivable,DCF
Prepayments and other receivables,"DCF
Age Analysis"
Other payables,"DCF
Age Analysis"
