"Insurance
contract
liabilities","Outstanding
claims",Total
"2,884,245","306,746","3,190,991"
"3,117,363","256,502","3,373,865"
"(233,118)","50,244","(182,874)"
"(230,320)",–,"(230,320)"
"(2,798)",–,"(2,798)"
–,"50,244","50,244"
"(233,118)","50,244","(182,874)"
