Attributable to,Column,Column,Column,Column
Total assets,"Long-term
policyholder
investment-
linked
(including
DPF) liabilities","Other
long-term
policyholder
liabilities(3)","Short-term
insurance
liabilities","Residual
liabilities and
shareholders’
interests"
3 830 768,1 788 180,1 864 689,59 479,118 420
2 496 348,1 496 180,940 689,59 479,–
1 334 420,292 000,924 000,–,118 420
35 349 964,11 752 063,4 358 632,7 901 955,11 337 314
31 216 753,11 752 063,4 037 932,4 089 444,11 337 314
4 133 211,–,320 700,3 812 511,–
2 850 863,370,233 400,736 723,1 880 370
42 031 595,13 540 613,6 456 721,8 698 157,13 336 104
100.0,32.2,15.4,20.7,31.7
