2025 2025,2024,2025,2024,2025,2024,2025,Column
"1 956 100
742 100
634 100","100
100
100",3 332,3 332,(630),(630),627,
,,"1 956
742
634","1 956
742
634",,"–
–
(630)","610
21
(4)","(7)
11
(4)"
,,,,"–
–
(630)",,,
