Standard,Effective date
"Interest rate benchmark reform-phase 2 (Amendments to IFRS 9, IAS 39, IFRS 7, IFRS 4 and IFRS 16)",1 January 2021
"The amendment clarifies how to classify debt and other liabilities as current or non-current. The objective of the
amendment is aimed to promote consistency in applying the requirements by helping entities determine whether,
debt and other liabilities with an uncertain settlement date should be classified as current (due or potentially due to
be settled within one year) or non-current. The amendment also includes clarifying the classification requirements
for debt an entity might settle by converting it into equity.",
IFRS 9 Financial Instruments General hedge accounting (GHA),1 January 2021
"The revised general hedge accounting requirements are better aligned with an entity's risk management policies,
provide additional opportunities to apply hedge accounting and allow various simplifications in achieving hedge
accounting. The IASB is currently still researching the accounting model to cover situations where a group manages
it risk dynamically (i.e. when the risk position being hedged changes frequently and is hedged by an open portfolio of
changing assets and liabilities).",
