Group,Column,Column,Company,Column,Column
30-Jun-25,"(Restated)1
30-Jun-24","31-Dec-24
(12 months)",30-Jun-25,30-Jun-24,"31-Dec-24
(12 months)"
852,"1 361 2 422
(784) (1 418)",,–,,
(627),,,–,,
225,"577 1 004
1 985 4 741
(1 121) (2 751)",,–,,
2 076,,,1 622,,
(1 253),,,–,,
1 048,1 441 2 994,,1 622,,
324,"193 456
(684) (1 359)",,–,,
(682),,,(67),,
690,"950 2 091
(340) (721)",,1 555,,
(262),,,–,,
428,"610 1 370
22 32",,1 555,,
(168),,,–,,
260,632 1 402,,1 555,,
(65),(208) (124),,–,,
,(208) (124),,,,
(65),,,–,,
195,424 1 278,,1 555,,
,"623 1 389
9 13",,,,
229,,,1 555,,
31,,,–,,
260,632 1 402,,1 555,,
,"504 1 315
(80) (37)",,,,
189,,,1 555,,
6,,,–,,
195,424 1 278,,1 555,,
0.80,1.14 2.56,,–,,
0.43,1.16 2.59,,–,,
