"Change in variable
%","Gross of reinsurance
impact on
policyholder
contract values","Net of reinsurance
impact on
policyholder
contract values","Impact on ordinary
shareholders' equity
and attributable
profit
after taxation"
+2,4 210,4 210,(4 210)
-2,(4 127),(4 127),4 127
+4,619,705,(705)
-4,(607),(691),691
+5,–,–,–
-5,–,–,–
+8,(34 227),(34 227),34 227
-8,37 023,37 023,(37 023)
+5,74 989,74 989,(74 989)
-5,(74 126),(74 126),74 126
+12,(184 370),(184 370),80 743
-12,221 216,221 216,(97 275)
+15,494 613,494 613,98 923
-15,(494 613),(494 613),(98 923)
