"Contractual cash flows (excluding policyholder liabilities, derivative liabilities and lease liabilities)",Column,Column,Column,Column,Column
"0 – 3
months(1)",3 – 12 months,"1 – 5
years","5 – 10
years",Variable,Total
1 356 953,1 410 560,–,–,–,2 767 513
1 356 953,1 410 560,–,–,–,2 767 513
49,51,–,–,–,100
