"As previously
reported
at
31 December
2022",Restatement,"Restated 31
December
2022","As
previously
reported
at 31
December
2021",Restatement,"Restated
1 January
2022"
19 997 334,(19 997 334),–,20 375 024,(20 375 024),–
6 456 721,(6 456 721),–,6 791 125,(6 791 125),–
2 822 939,(2 822 939),–,3 065 074,(3 065 074),–
10 717 674,(4 120 211),6 597 463,10 518 825,(4 267 914),6 250 911
–,21 653 381,21 653 381,–,21 702 589,21 702 589
8 698 157,(8 698 157),–,7 615 459,(7 615 459),–
1 021 032,(107 242),913 790,1 050 886,(64 173),986 713
–,163 689,163 689,–,125 338,125 338
112 040,–,112 040,78 863,–,78 863
174 339,–,174 339,145 301,–,145 301
2 767 513,(1 167 010),1 600 503,2 396 051,(409 384),1 986 667
32 770 415,(1 555 210),31 215 205,31 661 584,(385 202),31 276 382
8 876 391,(350 812),8 525 579,8 501 900,(237 517),8 264 383
535 707,–,535 707,535 707,–,535 707
1 490 480,–,1 490 480,1 490 480,–,1 490 480
4 876 418,(104 681),4 771 737,4 478 329,(89 213),4 389 116
1 973 786,(246 131),1 727 655,1 997 384,(148 304),1 849 080
384 789,(18 899),365 890,312 824,(17 434),295 390
9 261 180,(369 711),8 891 469,8 814 724,(254 951),8 559 773
42 031 595,(1 924 921),40 106 674,40 476 308,(640 153),39 836 155
