INSTRUMENT,VALUATION BASIS/TECHNIQUES
"Unlisted term deposits, illiquid listed term
deposits and senior secured term facility",DCF
Investment policies,"Quoted put/surrender price provided by the
issuer, adjusting for any applicable notice
periods (DCF)"
"Financial liabilities under investment
contracts
– unit-linked policies","Current unit price of underlying unitised
financial asset that is linked to the liability,
multiplied by the number of units held"
– fixed term annuities,DCF
Commercial paper,DCF
Cash equivalents – short term deposits,"Market to market
Yield curves"
Cash on hand,Face value
