Level 1,Level 2,Level 3,Total
1 641 826,–,71 050,1 712 876
1 641 826,–,–,1 641 826
–,–,71 050,71 050
–,18 631 636,–,18 631 636
–,18 631 636,–,18 631 636
–,–,1 216 000,1 216 000
1 641 826,18 631 636,1 287 050,21 560 512
–,–,–,1 480 527
–,–,–,200 105
–,–,–,86 963
–,–,–,196 263
–,–,–,–
–,–,–,5 737 041
–,–,–,635 271
–,–,–,882 162
–,–,–,12 857 391
–,–,–,125 010
1 641 826,18 631 636,1 287 050,43 761 245
