Assessment of recoverability of Chase Bank (K) Limited (In Receivership) balances,Column
See Note 14 to the financial statements.,
The key audit matter,How the matter was addressed
"The Group has an investment (Corporate Bond) in Chase
Bank (K) Limited (In Receivership) amounting to KShs 250
million. The bank is currently under statutory management
by the Kenya Deposit Insurance Corporation (KDIC). The
estimation of recoverability of this amount was significant
to our audit.
Due to the high level of judgment in assessing the level
of impairment of the balances, we considered this to be
a key audit matter.","Our audit procedures in this area included, among others, evaluating the
management’s assessment of the recoverability of the balance."
