"Short-term
business
2016
Shs’000","Short-term
business
2015
Shs’000"
"2,295,431",
"1,176,800",
"1,176,800",
"1,118,631",
1.95,
"1,551,393
(1,201,999)",
"213,205",
"136,189",
2.57,
