Share Data,Liberty Plc
Current Price (KES),5.10
52WK High (KES),6.24
52WK Low (KES),3.30
No. of shares issued (Mn),535.71
Market Cap (KES Bn),2.73
Free Float,9.39%
EPS (FY’23),KES 1.22
P/E,4 . 18x
DPS,Nil
Current Price = VWAP as at 21st August 2024,
"LBTY Share Performance
LBTY KN NSEASI
33333333333444444444444
22222222222222222222222
-lu - g - g -p -p -t -t -v -v -c -c - n -n -b -b - ra - ra -rp -rp -y -n -n -lu
J u A u A e S e S c O c O o N o N e D e D a J a J e F e F M M A A a M u J u J J",
