Column,Valuation technique
"Fixed and variable
rate preference
shares, bonds and
inflation- linked
bonds",Discounted cash flow (DCF) model
"Unlisted equities
and debt (including
unlisted variable
rate preference
shares)",Discounted cash flow (DCF) model.
"Fixed deposits
and negotiable
certificates of
deposit","Face value and DCF model.
."
