"Present value
of future cash
flows","Risk
adjustment for
non-financial
risk",CSM,"Total Life risk
measured
under GMM"
527 499,52 493,96 481,676 473
–,–,–,–
527 499,52 493,96 481,676 473
(70 656),(35 555),(57 609),(163 820)
–,–,(57 609),(57 609)
–,(35 555),–,(35 555)
(70 656),–,–,(70 656)
244 513,26 399,103 463,374 375
(27 351),5 178,22 173,–
129 031,221,30 742,159 994
142 833,21 000,50 548,214 381
–,–,–,–
–,–,–,–
,,,–
–,–,–,–
173 857,(9 156),45 854,210 555
(115 862),6 894,10 864,(98 104)
57 995,(2 262),56 718,112 451
76 929,–,–,76 929
588 863,–,–,588 863
(68 188),–,–,(68 188)
(95 062),–,–,(95 062)
(348 684),–,–,(348 684)
–,–,–,–
662 423,50 231,153 199,865 853
–,–,–,–
662 423,50 231,153 199,865 853
