INSTRUMENT,"VALUATION BASIS/
TECHNIQUES",Column
Investment and owner-occupied properties,"Income approach.
Sale price (if held for sale)","Exit capitalisation and discount rates
Price per square metre
Long-term net operating income margin
Vacancies
Market rental trends (Market rental growth
ranges: 4,0% to 5,5%)
Economic outlook
Location
Not applicable"
"Unlisted equities and debt, including
associates and joint ventures – measured
at fair value","DCF/earnings multiple
Net asset value
Recent arm’s length transactions","Cost of capital
Bond and interbank swap interest rate curves
Consumer price index
Gross domestic product
If a property investment entity, then
assumptions applied are as above under
investment and owner- occupied property
Not applicable
Not applicable"
"Unlisted term deposits and illiquid listed
term deposits",DCF,"Bond and interbank swap interest rate curves
Issuer credit ratings
Liquidity spreads"
Investment policies,Probabilistic valuation methodology DCF,"Face value
Premium burden
Life expectancy
Bond and interbank swap interest rate curves"
Staff loans receivable,DCF,"Prime interest rate
Term"
Prepayments and other receivables,"DCF
Age Analysis","Applicable risk-free rate
Applicable credit margin
Expected cash flows"
Other payables,"DCF
Age Analysis","Applicable credit margin including Liberty’s
own credit risk"
