Attributable to,Column,Column,Column,Column
Total assets,"Long-term
policyholder
investment-
linked
(including
DPF) liabilities","Other
long-term
policyholder
liabilities(3)","Short-term
insurance
liabilities","Residual
liabilities and
shareholders’
interests"
5 191 816,2 784 261,2 236 421,53 134,118 000
3 350 553,1 984 998,1 312 421,53 134,
1 841 263,799 263,924 000,–,118 000
33 129 433,10 792 178,4 186 364,6 870 224,11 280 667
29 736 301,10 792 178,4 019 533,3 643 923,11 280 667
3 393 132,,166 831,3 226 301,
2 155 058,3 147,368 340,692 101,1 091 470
40 476 308,13 579 587,6 791 125,7 615 459,12 490 136
100,34,17,19,31
