17,Employee benefits,50
18,Insurance and other payables,52
19,"Summary of the group’s financial, property, insurance
and reinsurance assets and long-term policyholder
and reinsurance liabilities per class",53
20,Fair value hierarchy,55
21,Share capital and share premium,62
22,Premiums,62
23,"Revenue from contract with customers and fee
income on placement of reinsurance",63
24,"Investment income and interest income on financial
assets using the effective interest rate method",64
25,"Fair value adjustments to assets held at fair value
through profit or loss",64
26,Claims and policyholder benefits,65
27,Acquisition costs,65
28,General marketing and administration expenses,66
29,Finance costs,66
30,"Details of non-wholly-owned subsidiaries that have
significant non-controlling interests",67
31,Taxation,68
32,Cash utilised by operations,69
33,Taxation paid,70
34,Related party disclosures,71
35,Commitments,76
