Standard,Effective date
Onerous contracts: Cost of fulfilling a contract (Amendment to IAS 37),1 January 2022
"The changes specify that the cost of fulfilling a contract comprises the costs that relate directly to the contract. Costs
that relate directly to a contract can either be incremental costs of fulfilling that contract examples would be direct
labor and materials or an allocation of other costs that relate directly to fulfilling contracts.",
"Property, plant and equipment: Proceeds before intended use (Amendment to IAS 16)",1 January 2022
"The amendments prohibit a company from deducting from the cost of property, plant and equipment amounts
received from selling items produced while the company is preparing the asset for its intended use. Instead, a company
will recognize such sales proceeds and related cost in profit or loss.",
Annual improvements to IFRS standards 2018-2020,1 January 2022
"The annual improvements provide a streamlined process for dealing efficiently with a collection of amendments to
IFRSs. The primary objective is to enhance the quality of standards, by amending existing Standards to clarify guidance
and wording, or to correct for relatively minor unintended consequences, conflicts or oversights. Amendments are
made through the annual improvements process when the amendment is considered non-urgent but necessary.",
