RESOLUTION,VOTES,Column,Column,Column
,FOR,,AGAINST,
,VOTES,%,VOTES,%
,476 175 423,"99,99%",105,"0,00%"
"To elect Directors: In accordance with Article 111 of the Company’s Articles of Association,
Mr. Philip Odera retires by rotation and being eligible, offers himself for re-election.",476 170 118,"99,99%",5 410,"0,01%"
"To elect Directors: In accordance with Article 111 of the Company’s Articles of Association,
Mr. Jeff Hubbard retires by rotation and being eligible, offers himself for re-election.",476 161 087,"99,99%","10,836","0,01%"
"To note that the Auditors, PricewaterhouseCoopers, will continue in office in accordance
with Section 721(4) of the Companies Act 2015 and to authorize the directors to fix their
remuneration in accordance with Section 724(1) of the Companies Act 2015.",476 172 292,"99,99%",3 236,"0,01%"
"To approve the Directors’ Remuneration Policy and the Directors’ Remuneration Report
for the year ended December 31, 2022.",476 166 259,"99,99%",9 269,"0,10%"
"To consider, and if thought fit to pass the following resolution as a special resolution,
as recommended by the Directors: that the Articles of Association of the Company be
and are hereby amended and the form of the Articles of Association (a copy of which is
available on the Company website (www.liberty.co.ke) be and is hereby adopted as the
Articles of Association of the Company with effect from the conclusion of this meeting.",476 162 298,"99,99%",7 230,"0,10%"
"To pass an ordinary resolution pursuant to Section 769 of the Companies Act, 2015, that
the following directors being members of the Audit and Risk Committee be elected to
continue to serve as members of the said Committee:",,,,
,476 167 559,"99,99%",7 969,"0,01%"
,476 167 559,"99,99%",7 969,"0,01%"
