2024,"Restated
2023(1)",2024,2023
,"10 828
(8 624)",,"–
–"
10 950,,–,
(8 528),,–,
2 422,"2 204
(1 253)",–,–
(1 418),,,
1 004,951,–,–
(24),"149
1 243
590
(412)
(146)",315,"140
–
–
–
–"
1 395,,–,
5 736,,–,
(2 154),,–,
(212),,–,
4 741,1 424,315,140
(2 806),"(427)
(1)",–,"–
–"
55,,–,
(2 751),(428),–,–
2 994,1 947,315,140
456,"149
(1 074)
(2)",–,"–
(114)
–"
(1 351),,(190),
(8),,–,
2 091,"1 020
(389)",125,"26
–"
(721),,–,
1 370,"631
41",125,"26
–"
32,,–,
1 402,672,125,26
(124),13,–,–
(124),13,–,–
(124),13,–,–
1 278,685,125,26
,"656
16",,"26
–"
1 389,,125,
13,,–,
1 402,672,125,26
,"663
22",,"26
–"
1 315,,125,
(37),,–,
1 278,685,125,26
,1.22,,
2.59,,,
