Column,Column,Group,Column,Column,Company,Column
,Notes,,2021,2020,2021,
Insurance premiums,22,,11 411 462,11 176 458,–,–
Reinsurance premiums,22,,(4 682 805),(4 490 596),–,–
,,,6 728 657,6 685 862,–,
"Revenue from contracts with customers and fee income on
placement of reinsurance",23,,1 335 589,1 110 002,–,–
Investment income,24.1,,46 649,131 203,200 000,185 000
"Interest income on financial assets using the effective
interest rate method",24.2,,643 753,506 922,–,–
"Fair value adjustments to assets held at fair value
through profit or loss",25,,2 158 708,1 423 735,–,–
,,,10 913 356,9 857 724,200 000,
Claims and policyholder benefits under insurance contracts,26,,(8 201 331),(6 792 094),–,–
Insurance claims recovered from reinsurers,26,,1 968 149,1 840 201,–,–
Change in long-term policyholder assets and liabilities,,,965 187,1 263 759,–,–
Liabilities under insurance contracts,12,,(62 532),330 352,–,–
Investment contracts with discretionary participation features,12,,863 792,960 792,–,–
Applicable to reinsurers,12,,163 927,(27 385),–,–
"Fair value adjustment to long-term policyholder liabilities under
investment contracts",13,,(854 885),(520 967),–,–
Acquisition costs,27,,(1 686 566),(1 669 611),–,–
General marketing and administration expenses,28,,(2 781 576),(2 922 819),(190 210),(205 235)
Finance costs,29,,(10 788),(12 296),–,–
,,,311 546,1 043 897,9 790,
Taxation,31,,(229 719),(367 951),–,–
,,,81 827,675 946,9 790,
Other comprehensive income,,,27 712,47 125,–,–
Items that may be reclassified subsequently to profit or loss,,,27 712,47 081,–,–
Foreign currency translation,,,27 712,47 081,–,–
Items that may not be reclassified subsequently to profit or loss,,,–,44,–,–
Owner-occupied properties – fair value adjustment,4.2,,–,(36 871),–,–
"Income and capital gains tax relating to owner-occupied properties
fair value adjustment",,,–,(14),–,–
"Change in long-term policyholder insurance liabilities (application of
shadow accounting)",,,–,36 929,–,–
,,,109 539,723 071,9 790,
Shareholders’ equity,,,80 157,659 335,9 790,(20 235)
Non-controlling interests,30.1,,1 670,16 611,–,–
,,,81 827,675 946,9 790,
Shareholders’ equity,,,96 782,687 628,9 790,(20 235)
Non-controlling interests,30.2,,12 757,35 443,–,–
,,,109 539,723 071,9 790,
,,,0.15,1.23,0.00,0.00
