Long-term policyholder liabilities,Column,Column,Column
"Insurance
contracts","Investment
contracts","Investment
contracts
with DPF",Total
–,10 053 044,–,10 053 044
4 967 085,–,2 822 939,7 790 024
224 744,664 630,–,889 374
1 093 767,–,–,1 093 767
171 125,–,–,171 125
6 456 721,10 717 674,2 822 939,19 997 334
