Long-term policyholder liabilities,Column,Column,Column
"Insurance
contracts","Investment
contracts","Investment
contracts
with DPF",Total
–,10 020 541,–,10 020 541
5 419 092,–,3 065 074,8 484 166
241 961,498 284,–,740 245
864 803,–,–,864 803
265 269,–,–,265 269
6 791 125,10 518 825,3 065 074,20 375 024
