"A- and
above",BBB+,BBB,BBB-,BB+,"BB- and
below","Not
rated",Total
23 036 627,–,–,–,–,–,1 400 034,24 436 661
23 036 627,–,–,–,–,–,–,23 036 627
–,–,–,–,–,–,1 400 034,1 400 034
320 700,–,–,–,3 812 511,–,–,4 133 211
3 717 587,–,4 319 490,–,383 354,–,–,8 420 431
27 074 914,–,4 319 490,–,4 195 865,–,1 400 034,36 990 303
27 074 914,–,1 011 744,–,4 195 865,–,1 350 803,33 633 326
–,–,3 307 746,–,–,–,49 231,3 356 977
