"A- and
above",BBB+,BBB,BBB-,BB+,BB,"BB- and
below","Not
rated",Total
18 940 172,–,–,–,–,–,–,1 648 024,20 588 196
18 940 172,,,,,,,–,18 940 172
,,,,–,,,–,–
,,,,,,,1 648 024,1 648 024
166 831,,,,3 226 301,–,,,3 393 132
,,,,–,1 044 198,,–,1 044 198
4 326 153,–,2 419 953,,1 109 798,,,,7 855 904
23 433 156,–,2 419 953,–,4 336 099,1 044 198,–,1 648 024,32 881 430
23 246 786,–,1 034 419,–,3 565 128,866 659,–,1 073 161,29 786 153
186 370,,1 385 534,,770 971,177 539,,574 863,3 095 277
