Type of benefit,Description
"Leave pay
provision","The group recognises a liability for the amount of accumulated leave if the group has a present or constructive obligation
to pay this amount as a result of past service provided by the employee and the obligation can be estimated reliably."
Incentive scheme,"Incentive scheme bonuses are short-term bonuses which are recognised as an expense as incurred when the group
has a present or constructive obligation and the amount can be reliably measured."
"Pension
obligations
(defined
contribution
plans)","The group operates a defined contribution retirement benefit scheme for its employees. A defined contribution
plan is a pension plan under which the group companies pay fixed contributions into a separate entity. The group
has no legal or constructive obligations to pay further contributions if the fund does not hold sufficient assets to pay
all employees the benefits relating to employee service in the current and prior periods."
