2023,2022,2023,2022,2023,Column
410 316,217 467,–,–,–,
30 529,"10 151
207 316",–,"–
–",–,"–
–"
379 787,,–,,–,
450 152,192 849,41 573,41 573,6 635,
(11 262),"20 378
172 471",–,"–
41 573",38,"41
6 599"
461 414,,41 573,,6 597,
860 468,410 316,–,–,–,
19 267,"30 529
379 787",–,"–
–",–,"–
–"
841 201,,–,,–,
860 468,410 316,41 573,41 573,6 635,
