Number of shares,Column,Column,Column,Column
Weighted average number of ordinary shares for the,,,,
purpose of basic earnings per share (in thousands),"535,707","515,270","535,707","515,270"
Earnings per share (Shs) basic and diluted,2.14,2.15,0.32,0.30
