2021,2020,2021,Column
,315 151,,
512 508,,–,
512 508,"229 748
85 403",–,"–
–"
–,,–,
2 384 261,1 564 898,–,
2 384 261,"1 564 898
–",–,"–
–"
–,,–,
(2 517 021),(1 367 541),–,
(2 517 021),"(1 282 138)
(85 403)",–,"–
–"
–,,–,
–,–,–,
–,"–
–",–,"–
–"
–,,–,
379 748,512 508,–,
379 748,"512 508
–",–,"–
–"
–,,–,
