2019,2018,2019,Column
,"1,423,572
1,821,528
157,939
–
–
221,494
72,268
2,701,761",,
"1,432,035",,–,
"1,284,687",,–,
"131,128",,–,
"112,158",,–,
–,,"2,571,541",
"230,766",,–,
"128,529",,–,
"2,739,290",,–,
"2,709,114","2,625,590
76,171",–,"–
–"
"30,176",,–,
"25,634,927","22,456,803
1,262,829
6,240,923
94,922
125,000",–,
"1,343,772",,–,
"4,493,680",,"12,859",
"30,882",,–,
"660,000",,–,
"38,221,854","36,579,039","2,584,400",
,"18,944,035",,
"19,955,727",,–,
"3,373,865","3,190,991
5,860,977
9,892,067",–,"–
–
–"
"4,889,658",,–,
"11,692,204",,–,
"3,598,041","3,452,303",–,
"2,965,871","2,797,727
654,576",–,"–
–"
"632,170",,–,
"1,064,840","1,059,984
3,054,112",–,
"3,158,674",,–,
"2,995,655","2,846,218
207,894",–,"–
–"
"163,019",,–,
"2,236,790","2,296,321
–
153,145","31,912",
"109,792",,–,
"65,098",,–,
"30,188,962","28,959,900","31,912",
,"7,338,093",,
"7,768,268",,"2,552,488",
"535,707","535,707
1,490,480
3,381,579
1,930,327","535,707","535,707
1,490,480
516,024
–"
"1,490,480",,"1,490,480",
"3,764,499",,"526,301",
"1,977,582",,–,
"264,624","281,046",–,
"8,032,892","7,619,139","2,552,488",
"38,221,854","36,579,039","2,584,400",
