HTM Movement analysis,"2013
Shs’ 000","2012
Shs’ 000"
As at 1 January,"7,730,557","6,622,029"
Additions,"60,000","1,673,601"
Maturities,"(1,304,720)","(574,463)"
Currency adjustment,"9,037","9,390"
,"6,494,874","7,730,557"
