KShs m,Kenya,"IFRS
Tanzania reported",Column
,"478 – 478
4 020 – 4 020
(2 370) – (2 370)",,
"Insurance service result
Net investment income
Net insurance finance expenses",,,
Net insurance and investment result,"2 128 – 2 128
519 – 519
(1 362) – (1 362)
(8) – (8)",,
"Revenue from investment contracts with customers
Other operating expenses
Finance costs
Bancassurance obligations",,,
,(186),–,(186)
Profit before taxation from continuing operations,"1 091 – 1 091
(432) – (432)",,
,"659 – 659
– (172) (172)",,
,"659 (172) 487
– (65) (65)",,
,"659 (237) 422
– (6) (6)",,
,659 (243) 416,,
