"Excluding
loss
component","Loss
component","Total
LRC","Present
value of
future
cash flows","Risk
adjustment
for non-
financial
risk","Total
LIC","Total General
insurance
medical
measured
under PAA"
694,–,694,353,10,363,1 057
–,–,–,–,–,–,–
694,–,694,353,10,363,1 057
(3 261),–,(3 261),–,–,–,(3 261)
416,–,416,2 305,4,2 309,2 725
–,–,–,2 113,4,2 117,2 117
156,–,156,192,–,192,348
–,–,–,–,–,–,–
–,–,–,–,–,–,–
–,–,–,–,–,–,–
–,–,–,–,–,–,–
260,–,260,–,–,–,260
(2 845),–,(2 845),2 305,4,2 309,(536)
–,–,–,5,–,5,5
–,–,–,–,–,–,–
(2 845),–,(2 845),2 310,4,2 314,(531)
–,–,–,–,–,–,–
2 829,–,2 829,(2 270),–,(2 270),559
3 253,–,3 253,–,–,–,3 253
–,–,–,(2 078),–,(2 078),(2 078)
(156),–,(156),(192),–,(192),(348)
(268),–,(268),–,–,–,(268)
–,–,–,–,–,–,–
(26),–,(26),(6),–,(6),(32)
652,–,652,387,14,401,1 053
–,–,–,–,–,–,–
652,–,652,387,14,401,1 053
