"Risk Total life
Present adjustment risk
value of for non- measured
future cash financial under
flows risk CSM GMM"
38 3 7 48
38 3 7 48
(12) (1) (5) (18)
"– – (5) (5)
– (1) – (1)
(12) – – (12)"
(3) 2 8 7
"2 – (2) –
(9) 2 10 3
4 – – 4"
"(15) 1 3 (11)
18 1 2 21"
3 2 5 10
27 – – 27
27 – – 27
68 5 12 85
68 5 12 85
