"A- and
above",BBB+,BBB,BB+,BB,"BB- and
below","Not
rated",Total
20 273 462,–,–,–,–,–,706 321,20 979 783
20 273 462,–,–,–,–,–,–,20 273 462
,,,,,,71 050,71 050
–,–,–,–,–,–,635 271,635 271
382 805,–,–,5 548 210,,–,–,5 931 015
,,,,,,882 162,882 162
3 078 321,4 337 645,5 441 425,–,–,–,–,12 857 391
23 734 588,4 337 645,5 441 425,5 548 210,–,–,1 588 483,40 650 351
23 734 588,4 337 645,3 878 338,5 548 210,–,–,1 539 252,39 038 033
–,–,1 563 087,–,–,–,49 231,1 612 318
