KShs m,"IFRS
Kenya Tanzania reported"
,"1 064 – 1 064
4 893 – 4 893
(2 751) – (2 751)"
"Insurance service result
Net investment income
Net insurance finance expenses",
Net insurance and investment result,"3 206 – 3 206
456 – 456
(1 351) – (1 351)
(8) – (8)
(212) – (212)"
"Revenue from investment contracts with customers
Other operating expenses
Finance costs
Bancassurance obligations",
Profit before taxation from continuing operations,"2 091 – 2 091
(721) – (721)"
,"1 370 – 1 370
32 32"
,"1 370 32 1 402
– (124) (124)"
,"1 370 (92) 1 278
– 37 37"
,1 370 (55) 1 315
