Annuity,"A financial contract between an insurer and a customer under which the insurer
promises to make a series of periodic benefit payments to an agreed beneficiary in
exchange for the payment of a premium or series of premiums to the insurer."
"Asset/liability matching
(ALM)","The process whereby an insurer invests in assets expected to generate inward cash
flows of the same amounts and at the same times as the outward cash flows that are
expected in order to meet benefit payments"
Board,Liberty Kenya Holdings Plc board of directors.
Cost of capital,"Measures the opportunity cost incurred by a company for holding the level of
required capital"
"Contractual service margin
(CSM)","The CSM represents the unearned profit the insurer will recognise as it provides
services in the future under insurance contracts."
Coverage units,"A proxy for the amount of insurance benefits provided by an insurance contract. It is
used to determine how to allocate the CSM for a group of insurance contracts to each
reporting period."
"Current estimate of future
cash flows","The discounted present value of the unbiased, probability weighted estimate of future
cash flows. It is a component of the carrying amount of the asset or liability for a
group of insurance contracts. This is commonly referred to as the ‘best estimate
liability’ or BEL."
"Deferred acquisition costs
(DAC)","The direct and indirect costs incurred during the financial period arising from
acquiring of investment contracts without discretionary participation features (DPF).
These costs are deferred to the extent that they are recoverable out of future charges."
"Deferred revenue liability
(DRL)","Initial and other upfront fees received for the rendering of future investment services
on investment contracts without DPF, which are deferred and recognised as revenue
when the related services are rendered."
"Discretionary participation
features (DPF)","A contractual right given to a policyholder to receive, as a supplement to guaranteed
benefits, additional benefits:
• that are likely to be a significant portion of the total contractual benefits;
• whose amount or timing is contractually at the discretion of the issuer; and
• that are contractually based on the:
• performance of a specified pool of contracts or a specified type of contract;
• realised and or unrealised invested returns on a specified pool of assets held by the
issuer; or
• profit or loss of the company, fund or other entity that issues the contract."
"Fair value through profit or
loss (FVPL)","Financial assets that are classified as fair value through profit or loss (default) includes
those that are mandatorily measured at fair value through profit or loss, as well as
those that meet the business model assessment for fair value through profit or loss
under IFRS 9."
