"1,292,262","2,945,671"
"1,275,822","919,500"
"62,739","450,286"
"1,201,073","439,557"
"12,010","1,927"
-,"27,730"
"2,568,084","3,865,171"
"(961,814)","(1,520,680)"
"(872,248)","(2,068,679)"
"734,022","275,812"
-,"2,381"
"734,022","278,193"
"7,538","(69,335)"
"741,560","208,858"
"16,977,464","7,316,070"
"656,623","399,928"
"100,935","19,031"
"412,500","211,053"
"5,316,180","9,194,696"
"459,465","1,657,670"
"14,366,885","5,752,052"
"4,356,511","2,332,799"
"9,237,856",-
-,"2,242,031"
"252,311","(182,220)"
"14,090","63,277"
"8,047","3,553"
